File,numBytesInfoData,padding0,pingRate_Hz,beamSpacing,depthMode,subDepthMode,distanceBtwSwath,detectionMode,pulseForm,padding1,frequencyMode_Hz,freqRangeLowLim_Hz,freqRangeHighLim_Hz,maxTotalTxPulseLength_sec,maxEffTxPulseLength_sec,maxEffTxBandWidth_Hz,absCoeff_dBPerkm,portSectorEdge_deg,starbSectorEdge_deg,portMeanCov_deg,stbdMeanCov_deg,portMeanCov_m,starbMeanCov_m,modeAndStabilisation,runtimeFilter1,runtimeFilter2,pipeTrackingStatus,transmitArraySizeUsed_deg,receiveArraySizeUsed_deg,transmitPower_dB,SLrampUpTimeRemaining,padding2,yawAngle_deg,numTxSectors,numBytesPerTxSector,headingVessel_deg,soundSpeedAtTxDepth_mPerSec,txTransducerDepth_m,z_waterLevelReRefPoint_m,x_kmallToall_m,y_kmallToall_m,latLongInfo,posSensorStatus,attitudeSensorStatus,padding3,latitude_deg,longitude_deg,ellipsoidHeightReRefPoint_m,bsCorrectionOffset_dB,lambertsLawApplied,iceWindow,activeModes,dgtime,dgdatetime
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.61116361618042,2,1,0,0,0,0,0,300000.0,290000.0,350000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.59389114379883,-54.417625427246094,-70,67,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,308.1724548339844,1467.572998046875,0.7414644360542297,0.11426276713609695,0.005014862399548292,0.005966628435999155,1,0,0,0,45.44319695604089,-83.72468826955188,139.0223388671875,0.0,1,0,0,1624191940.8027258,2021-06-20 12:25:40.802726
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.477049827575684,2,1,0,0,0,0,0,300000.0,260000.0,320000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.02769470214844,-54.94184875488281,-68,68,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,308.9853820800781,1467.572021484375,0.7081219553947449,0.142503023147583,0.0010810737730935216,0.006828899960964918,2,0,0,0,45.44319405212553,-83.7246834248959,139.14100646972656,0.0,1,0,0,1624191940.6108572,2021-06-20 12:25:40.610857
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.477049827575684,2,1,0,0,0,0,0,300000.0,290000.0,350000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.027626037597656,-54.939388275146484,-68,68,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,308.9842224121094,1467.572021484375,0.7082053422927856,0.14242176711559296,0.0010823141783475876,0.006829884368926287,2,0,0,0,45.44319405660923,-83.72468343237614,139.14100646972656,0.0,1,0,0,1624191940.6111643,2021-06-20 12:25:40.611164
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.476733684539795,2,1,0,0,0,0,0,300000.0,260000.0,320000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.72035598754883,-54.32404327392578,-70,67,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,307.4292297363281,1467.572998046875,0.7319823503494263,0.13049288094043732,0.011080366559326649,0.003618953051045537,2,0,0,0,45.443199024846756,-83.72469205140023,139.01499938964844,0.0,1,0,0,1624191940.9647074,2021-06-20 12:25:40.964707
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.476733684539795,2,1,0,0,0,0,0,300000.0,290000.0,350000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.72318649291992,-54.32145309448242,-70,67,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,307.4277648925781,1467.572998046875,0.7319344878196716,0.1305527240037918,0.01109215710312128,0.0036137152928858995,2,0,0,0,45.44319902872038,-83.72469205891335,139.01499938964844,0.0,1,0,0,1624191940.9650145,2021-06-20 12:25:40.965014
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.617448329925537,2,1,0,0,0,0,0,300000.0,260000.0,320000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.59608459472656,-54.464683532714844,-70,67,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,306.4641418457031,1467.5780029296875,0.6867240071296692,0.18145275115966797,0.017309658229351044,0.0006184252561070025,2,0,0,0,45.44320144831746,-83.72469675186743,139.01499938964844,0.0,1,0,0,1624191941.1569023,2021-06-20 12:25:41.156902
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.617448329925537,2,1,0,0,0,0,0,300000.0,290000.0,350000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.596824645996094,-54.46074295043945,-70,68,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,306.4625244140625,1467.5780029296875,0.6866374611854553,0.18154454231262207,0.017316268756985664,0.00061474071117118,2,0,0,0,45.44320145219108,-83.72469675938055,139.01499938964844,0.0,1,0,0,1624191941.1572092,2021-06-20 12:25:41.157209
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.476937294006348,2,1,0,0,0,0,0,300000.0,260000.0,320000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.0532341003418,-55.01560592651367,-69,69,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,305.48895263671875,1467.5780029296875,0.6426547169685364,0.22692832350730896,0.019237346947193146,-0.0006012812373228371,2,0,0,0,45.44320348701476,-83.72470070604348,139.01499938964844,0.0,1,0,0,1624191941.3185823,2021-06-20 12:25:41.318582
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.476937294006348,2,1,0,0,0,0,0,300000.0,290000.0,350000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.053836822509766,-55.01009750366211,-69,69,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,305.48675537109375,1467.5780029296875,0.6425789594650269,0.22700411081314087,0.019237741827964783,-0.0006019684951752424,2,0,0,0,45.44320349088516,-83.72470071355033,139.01499938964844,0.0,1,0,0,1624191941.3188894,2021-06-20 12:25:41.318889
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.612403869628906,2,1,0,0,0,0,0,300000.0,260000.0,320000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,54.24810791015625,-55.86468505859375,-67,71,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,303.7501525878906,1467.5780029296875,0.6048270463943481,0.2641189992427826,0.018092164769768715,0.0004848975222557783,2,0,0,0,45.443205903951956,-83.72470539383853,139.01499938964844,0.0,1,0,0,1624191941.510259,2021-06-20 12:25:41.510259
